"name","region","lat.capital","long.capital"
"'Amman","Jordan",31.95,35.93
"Abu Dhabi","United Arab Emirates",24.48,54.37
"Abuja","Nigeria",9.18,7.17
"Accra","Ghana",5.56,-0.2
"Adamstown","Pitcairn",-25.05,-130.1
"Addis Abeba","Ethiopia",9.03,38.74
"Agana","Guam",13.47,144.75
"Algiers","Algeria",36.77,3.04
"Alofi","Niue",-19.05,-169.92
"Amsterdam","Netherlands",52.37,4.89
"Andorra la Vella","Andorra",42.51,1.51
"Ankara","Turkey",39.93,32.85
"Antananarivo","Madagascar",-18.89,47.51
"Apia","Samoa",-13.83,-171.76
"Asgabat","Turkmenistan",37.95,58.38
"Asmara","Eritrea",15.33,38.94
"Astana","Kazakhstan",51.17,71.47
"Asuncion","Paraguay",-25.3,-57.63
"Athens","Greece",37.98,23.73
"Avarua","Cook Islands",-21.2,-159.76
"Baghdad","Iraq",33.33,44.44
"Bairiki","Kiribati",1.33,172.99
"Baku","Azerbaijan",40.39,49.86
"Bamako","Mali",12.65,-7.99
"Bandar Seri Begawan","Brunei",4.93,114.95
"Bangkok","Thailand",13.73,100.5
"Bangui","Central African Republic",4.36,18.56
"Banjul","Gambia",13.46,-16.6
"Basse-Terre","Guadeloupe",16,-61.72
"Basseterre","Saint Kitts and Nevis",17.31,-62.73
"Bayrut","Lebanon",33.88,35.5
"Beijing","China",39.93,116.4
"Belgrade","Serbia",44.83,20.5
"Belmopan","Belize",17.25,-88.79
"Berlin","Germany",52.52,13.38
"Bern","Switzerland",46.95,7.44
"Biskek","Kyrgyzstan",42.87,74.57
"Bissau","Guinea-Bissau",11.87,-15.6
"Bogota","Colombia",4.63,-74.09
"Brasilia","Brazil",-15.78,-47.91
"Bratislava","Slovakia",48.16,17.13
"Brazzaville","Congo",-4.25,15.26
"Bridgetown","Barbados",13.11,-59.61
"Brussels","Belgium",50.83,4.33
"Bucharest","Romania",44.44,26.1
"Budapest","Hungary",47.51,19.08
"Buenos Aires","Argentina",-34.61,-58.37
"Bujumbura","Burundi",-3.37,29.35
"Cairo","Egypt",30.06,31.25
"Canberra","Australia",-35.31,149.13
"Caracas","Venezuela",10.54,-66.93
"Castries","Saint Lucia",14.03,-60.98
"Cayenne","French Guiana",4.92,-52.34
"Charlotte Amalie","US Virgin Islands",18.35,-64.94
"Chisinau","Moldova",47.03,28.83
"Cockburn Town","Turks and Caicos",21.46,-71.14
"Colombo","Sri Lanka",6.93,79.85
"Conakry","Guinea",9.55,-13.67
"Copenhagen","Denmark",55.68,12.57
"Dakar","Senegal",14.72,-17.48
"Damascus","Syria",33.5,36.32
"Dhaka","Bangladesh",23.7,90.39
"Dili","East Timor",-8.57,125.58
"Dodoma","Tanzania",-6.17,35.74
"Doha","Qatar",25.3,51.51
"Douglas","Isle of Man",54.15,-4.48
"Dublin","Ireland",53.33,-6.25
